Name,URL,Type,BirthYear,DeathYear
Lorna Watson,https://en.wikipedia.org/wiki/Lorna_Watson,Comedy double acts,,
Lou Sanders,https://en.wikipedia.org/wiki/Lou_Sanders,Stand-up comedians,,
Lucy Davis,https://en.wikipedia.org/wiki/Lucy_Davis,Sitcom comedians,1973,
Lucy Porter,https://en.wikipedia.org/wiki/Lucy_Porter,Stand-up comedians,1973,
Lucy Punch,https://en.wikipedia.org/wiki/Lucy_Punch,Sitcom comedians,1977,
Maisie Adam,https://en.wikipedia.org/wiki/Maisie_Adam,Stand-up comedians,,
Marcus Brigstocke,https://en.wikipedia.org/wiki/Marcus_Brigstocke,Stand-up comedians,1973,
Mark Addy,https://en.wikipedia.org/wiki/Mark_Addy,Sitcom comedians,1964,
Mark Gatiss,https://en.wikipedia.org/wiki/Mark_Gatiss,Sketch show/alternative comedians,1966,
Mark Perry,https://en.wikipedia.org/wiki/Mark_Perry_(impressionist),Impressionists,,
Mark Steel,https://en.wikipedia.org/wiki/Mark_Steel,Stand-up comedians,1960,
Mark Thomas,https://en.wikipedia.org/wiki/Mark_Thomas,Satirists,1963,
Mark Watson,https://en.wikipedia.org/wiki/Mark_Watson,Stand-up comedians,1980,
Mark Williams,https://en.wikipedia.org/wiki/Mark_Williams_(actor),Sketch show/alternative comedians,1959,
Martha Howe-Douglas,https://en.wikipedia.org/wiki/Martha_Howe-Douglas,Sitcom comedians,1980,
Martin Clunes,https://en.wikipedia.org/wiki/Martin_Clunes,Sitcom comedians,1961,
Martin Freeman,https://en.wikipedia.org/wiki/Martin_Freeman,Sketch show/alternative comedians,1971,
Mathew Baynton,https://en.wikipedia.org/wiki/Mathew_Baynton,Sitcom comedians,1980,
Matilda Ziegler,https://en.wikipedia.org/wiki/Matilda_Ziegler,Sitcom comedians,1964,
