Name,URL,Type,BirthYear,DeathYear,PageLength,Age,Gender,Birthplace,BirthplaceLat,BirthplaceLon,DistanceFromTeddington
Paul Merton,https://en.wikipedia.org/wiki/Paul_Merton,Comedy panel game regulars,,,24714,,Male,"Parsons Green, London",51.4750837,-0.201549,10.6
Paul Nicholas,https://en.wikipedia.org/wiki/Paul_Nicholas,Sitcom comedians,1945,,18102,80.0,Male,Peterborough,52.5725769,-0.2427336,127.9
Paul Taylor,https://en.wikipedia.org/wiki/Paul_Taylor_(comedian),Stand-up comedians,1986,,7806,39.0,Male,"Chelmsford, England",51.7345329,0.4730532,65.53
Paul Whitehouse,https://en.wikipedia.org/wiki/Paul_Whitehouse,Sketch show/alternative comedians,1958,,14708,67.0,Male,"Stanleytown, Glamorgan",,,
Pauline Quirke,https://en.wikipedia.org/wiki/Pauline_Quirke,Sitcom comedians,1959,,8578,66.0,Female,"Hackney, London, England",51.5588684,-0.0739204,23.27
Penelope Keith,https://en.wikipedia.org/wiki/Penelope_Keith,Sitcom comedians,1940,,12462,85.0,Female,"Sutton, Surrey",51.1967997,-0.6229249,32.51
Penelope Wilton,https://en.wikipedia.org/wiki/Penelope_Wilton,Sitcom comedians,1946,,9851,79.0,Female,"Scarborough, England",54.2820009,-0.4011868,318.04
Penny Broadhurst,https://en.wikipedia.org/wiki/Penny_Broadhurst,Poets with a comedic bent,,,4811,,Female,,,,
Peter Howitt,https://en.wikipedia.org/wiki/Peter_Howitt_(actor),Sitcom comedians,1957,,2826,68.0,Male,"Manchester, Lancashire, England",53.7851712,-2.2493172,293.08
Peter Jones,https://en.wikipedia.org/wiki/Peter_Jones_(actor),Comedy panel game regulars,,,9618,,Male,"Wem, Shropshire",52.8556312,-2.7241167,228.48
Peter Kay,https://en.wikipedia.org/wiki/Peter_Kay,Stand-up comedians,1973,,18092,52.0,Male,"Farnworth, Lancashire",53.8723989,-2.9973382,326.73
Peter Richardson,https://en.wikipedia.org/wiki/Peter_Richardson_(actor),Sketch show/alternative comedians,1951,,21480,74.0,Male,"Newton Abbot, Devon, England",50.5296441,-3.6112097,250.96
Peter Serafinowicz,https://en.wikipedia.org/wiki/Peter_Serafinowicz,Sketch show/alternative comedians,1972,,15318,53.0,Male,"Liverpool, England",53.4071991,-2.99168,285.38
Phil Cool,https://en.wikipedia.org/wiki/Phil_Cool,Stand-up comedians,1948,,6710,77.0,Male,Chorley,53.6531915,-2.6294313,292.95
Phil Kay,https://en.wikipedia.org/wiki/Phil_Kay,Stand-up comedians,1969,,3362,56.0,Male,,,,
Phil Lester,https://en.wikipedia.org/wiki/Phil_Lester,Blog and internet humourists,,,27564,,Male,Rawtenstall,53.7012824,-2.2862723,285.95
Philip Pope,https://en.wikipedia.org/wiki/Philip_Pope,Musical comedians,,,4185,,Male,Philip R. J. Pope is a British composer and actor.,,,
Phill Jupitus,https://en.wikipedia.org/wiki/Phill_Jupitus,Stand-up comedians,1962,,18296,63.0,Male,"Newport, Isle of Wight",50.7003707,-1.2952039,105.17
Prunella Scales,https://en.wikipedia.org/wiki/Prunella_Scales,Sitcom comedians,1932,,20079,93.0,Female,Sutton Abinger,51.2021227,-0.418884,25.48
Rachel Parris,https://en.wikipedia.org/wiki/Rachel_Parris,Comedy panel game regulars,1984,,6814,41.0,Female,"Leicester, England",52.6362,-1.1331969,145.65
Rainer Hersch,https://en.wikipedia.org/wiki/Rainer_Hersch,Musical comedians,,,6923,,Male,"Thames Ditton, Surrey, UK",51.389182,-0.3290769,3.92
Ralf Little,https://en.wikipedia.org/wiki/Ralf_Little,Sitcom comedians,1980,,12942,45.0,Male,"Oldham, Greater Manchester",53.5415797,-2.1147831,264.92
Rebecca Front,https://en.wikipedia.org/wiki/Rebecca_Front,Spoof show comedians,,,10696,,Female,"Stoke Newington, London",51.5650387,-0.0725478,23.79
Reece Shearsmith,https://en.wikipedia.org/wiki/Reece_Shearsmith,Sketch show/alternative comedians,1969,,14527,56.0,Male,East Yorkshire,38.5680312,-90.3257566,6781.39
Revnell and West,https://en.wikipedia.org/wiki/Revnell_and_West,Variety and music hall comedians,,,3178,,Female,"Clerkenwell, Notting Hill",51.5319163,-0.1181678,19.0
Rhod Gilbert,https://en.wikipedia.org/wiki/Rhod_Gilbert,Stand-up comedians,1968,,17128,57.0,Male,Carmarthen,51.8591257,-4.3115907,279.76
